f1,w,rf,wt,mass,m95,r95,compacity,Q
1.08,4.91495,20,0.890771786744,0.810040939504,0.769495551522,8.96,0.085881199946708,0.36653480004557
1.12,5.1707,20,0.895843062962,0.800733361084,0.760514866305,9.25,0.0822178233843691,0.36132039115621
1.16,5.4368,20,0.900245815216,0.795220038749,0.755370976211,9.61,0.0786025989814127,0.358255807749234
1.2,5.71377,20,0.90433991908,0.789385562669,0.749779623909,9.89,0.0758118932163096,0.355012262040246
1.24,6.00181,20,0.907692941971,0.787190295808,0.747611270642,10.2,0.0732952226119567,0.353801049372483
1.28,6.30122,20,0.910402544992,0.787451611967,0.748076822635,10.51,0.0711776234666758,0.353945714925191
1.32,6.61221,20,0.912527889207,0.789508818924,0.750031351759,10.77,0.069640794035226,0.355072762479801
1.36,6.93489,20,0.91404469752,0.793671985494,0.75382851042,10.99,0.0685922211483507,0.357351044707414
1.4,7.26933,20,0.915001052194,0.799629332164,0.759511098669,11.18,0.0679348031010054,0.360607318229079
1.44,7.61554,20,0.915410881069,0.807503775733,0.766955083472,11.34,0.0676327234102201,0.36491093210373
1.48,7.97354,20,0.915442245585,0.815871050927,0.775031815467,11.45,0.0676883681630362,0.369479307689821
1.55,8.62825,20,0.914602391068,0.832597137311,0.790936474767,11.56,0.0684201102739578,0.378618381157239
1.6,9.11778,20,0.913518869692,0.844848606083,0.802414308779,11.57,0.0693530085374681,0.385319305929244
1.65,9.62543,20,0.912145008042,0.856958055776,0.814097732705,11.56,0.0704236792997392,0.39195206904896
1.7,10.15112,20,0.910609714163,0.8682114589,0.824633476901,11.5,0.071707258860997,0.39812442934892
1.75,10.69476,20,0.908938683535,0.878918492658,0.834944729184,11.44,0.0729846791244374,0.404009266812593
1.8,11.2563,20,0.907240986751,0.888439149936,0.843860721177,11.35,0.0743489622182277,0.409250892719673
1.85,11.83569,20,0.905556738127,0.896789873834,0.851934269558,11.26,0.0756602370833149,0.413856446787805
1.9,12.43289,20,0.903899589177,0.904196690583,0.858883648037,11.16,0.0769609003617783,0.41794978636598
2,13.68065,20,0.900795096661,0.916000080109,0.870144141233,10.97,0.0793203410422443,0.424490841169976
2.1,14.99955,20,0.898142500373,0.923421540619,0.877122258176,10.77,0.0814412495985462,0.428613235615993
