f1,w,rf,wt,mass,m95,r95,compacity,Qt,Q
0.08,1.083516522,52,0.929164710564421,0.552019242437523,0.524404499569374,10.3599,0.0506181949391288,0,0.281746365034828
0.085,1.089475603,51,0.925210538321712,0.561215700302548,0.533120187623876,9.99999,0.0533120187623876,0,0.286703158142149
0.09,1.095531773,55,0.921311349255695,0.569509196431835,0.540914858452825,9.65999,0.0559953269619902,0,0.29119814100045
0.098,1.10542829,57,0.915178545580698,0.581478809419925,0.552287764602415,9.18999,0.0600966011536905,6.19444188083577,0.297705395999792
0.1,1.107943,35,0.913667453218615,0.584107701111229,0.554854747683458,9.07999,0.0611073510664602,6.2000680673125,0.299147685687846
0.11,1.1207656,35,0.906234069999036,0.596092313417908,0.566233437953471,8.56999,0.0660715796911868,6.21310119747136,0.305733339629306
0.12,1.134016,30,0.899007892209125,0.605863178158074,0.575482909165591,8.12,0.0708722794538905,6.19946168779836,0.311149978568753
0.13,1.1477114,35,0.891984013879511,0.613813174320706,0.583120821187407,7.72999,0.0754360700113075,6.16430645708897,0.315587605638706
0.14,1.1618697,31,0.885161556483182,0.620117213034501,0.588945742067446,7.36999,0.079911226874823,6.11052215631529,0.319134154391134
0.15,1.1765099,32,0.878536255634124,0.625070610717591,0.593728995149276,7.05999,0.0840975913809173,6.04182257003574,0.321931636302574
0.16,1.1916517,31,0.872114324351486,0.628545192001996,0.597087950322443,6.76999,0.0881961521894303,5.9581600832012,0.323927765701062
0.17,1.207316,30,0.865880120077555,0.631161725586898,0.599487440598269,6.50999,0.0920871644544193,5.86561027380645,0.325413829850661
0.18,1.223525,25,0.859850427844353,0.632469313208127,0.600630611456591,6.25999,0.0959473820218197,5.76124901835872,0.326186937143022
0.19,1.2403011,30,0.854001628699238,0.633253046587519,0.601466736747494,6.04999,0.0994159895450404,5.65206235717559,0.326613906578757
0.2,1.257669,25,0.84835593266689,0.632844618580304,0.601103968548872,5.83999,0.102928761737821,5.53345703341768,0.326395798441294
0.21,1.2756545,30,0.842887811127133,0.632240827541832,0.600472675464704,5.65999,0.106090578704011,5.41343650751289,0.325982986514015
