f1,w,rf,wt,mass,m95,r95,compacity,Q
2.24,3.192,13,0.849665486504961,0.576603455032337,0.547612724601504,4.24999,0.128850052847413,
2.26,3.209,10,0.850980837492659,0.572542010183765,0.543803230085654,4.18999,0.129785973767459,
2.28,3.2257,12,0.85121174780771,0.572499660652037,0.543664058375753,4.22999,0.128525782121927,
2.3,3.242,12,0.849753558251733,0.580552804890425,0.551333858655448,4.54999,0.121172276627571,
2.32,3.259,14,0.851780927604518,0.570598774011483,0.541919602656694,4.24999,0.127510494742752,
2.34,3.2756,14,0.851794343020312,0.57258991208369,0.54381979329195,4.36999,0.12444388862516,
2.36,3.2923,14,0.852538977288819,0.569318424078646,0.540658158352162,4.29999,0.125734455430735,
2.38,3.309,17,0.853265154767239,0.567267828359704,0.538875432123968,4.28999,0.125611988840086,
2.4,3.3256,17,0.853707261013792,0.565935470638139,0.537633912994696,4.28999,0.125322590441654,
2.42,3.3422,17,0.854210678619617,0.564645890833853,0.536331259805257,4.28999,0.125018941679547,
2.44,3.35879,20,0.854790860231597,0.562661411534865,0.534510971940195,4.26999,0.125178213569132,
2.46,3.37534,19,0.855221184485725,0.562346718451864,0.533999997572107,4.29999,0.124186045947002,
2.48,3.39188,20,0.855795068600716,0.559943052747172,0.531749615399928,4.25999,0.124823853380265,
2.5,3.4084,19,0.856251138819871,0.559836215696252,0.531708498011891,4.30999,0.123366240838026,
2.52,3.42489,19,0.856775988236405,0.557880889648106,0.529775064289805,4.27999,0.123779220628459,
2.54,3.44136,19,0.857275828786119,0.556431348242349,0.528576612538402,4.27999,0.12349920853701,
2.56,3.45781,20,0.857741684991117,0.555690774313222,0.527870652680964,4.29999,0.12276061690255,
2.58,3.474236,25,0.858243728501334,0.554006362108364,0.526232326962956,4.27999,0.122951478262373,
2.6,3.4906447,25,0.858728731539353,0.552766015435229,0.525078072521946,4.27999,0.122681792645314,
2.62,3.507033,29,0.859151216066216,0.553384430946187,0.525570863975942,4.34999,0.120820888270332,
2.64,3.523401,28,0.859675496350927,0.55075908303907,0.5230541999833,4.28999,0.121924055940163,
2.66,3.539749,27,0.860155719557161,0.549435703624493,0.521944957456985,4.28999,0.121665491248714,
2.68,3.556076,22,0.860612270278422,0.548532033964994,0.521089631642966,4.29999,0.121183635265806,
2.7,3.572385,27,0.861080708506195,0.547582952638694,0.520007131089174,4.29999,0.120931890950971,
2.72,3.58867,20,0.861504960378997,0.546950867525752,0.519417140507374,4.31999,0.120235449191522,
2.74,3.60495,20,0.861897263291384,0.54793902164741,0.520527379575207,4.41999,0.117766375469504,
2.76,3.6212,19,0.862446756562388,0.5449973944724,0.517744354717852,4.33999,0.119295934266786,
2.78,3.63742,20,0.862889822405206,0.543647871921548,0.516302793166191,4.31999,0.119514535455137,
2.8,3.65364,19,0.863379990657112,0.54234061012035,0.51503619205792,4.30999,0.119497956393949,
2.82,3.66983,20,0.863832722120827,0.541133376227683,0.514049726464885,4.30999,0.119269078066099,
2.84,3.686,20,0.864261501917764,0.540252032209507,0.513080884534909,4.30999,0.119044288755199,
2.86,3.70215,17,0.864680849818238,0.539381450192546,0.51235822219716,4.31999,0.118601440323417,
2.88,3.7183,19,0.865155734175036,0.538505937031583,0.511359410885798,4.31999,0.118370234001342,
2.9,3.73441,20,0.865548522308883,0.537953916969121,0.510894943599716,4.33999,0.117717728940027,
2.92,3.75051,20,0.865963842002747,0.537354352074142,0.510408314001304,4.35999,0.117066127064519,
2.94,3.7666,20,0.866454424880367,0.535671528977131,0.508799941555894,4.32999,0.117505760174571,
2.96,3.78266,20,0.866866719289304,0.534792516941101,0.507909824652676,4.32999,0.117300190450964,
2.98,3.7987,19,0.867190658014301,0.535403392121264,0.508565472263183,4.39999,0.115583061877996,
3,3.81474,20,0.867732084010334,0.532842815971182,0.506123455023504,4.32999,0.11688763395462,
3.02,3.83075,22,0.868129194843216,0.532319465990227,0.505483318717772,4.33999,0.116470810764464,
3.04,3.84674,20,0.86846814862308,0.532690599502542,0.505940983193838,4.39999,0.114986587089509,
3.07,3.8707,20,0.869088026383085,0.531399989768228,0.504674229279213,4.39999,0.114698688472549,
3.09,3.88666,21,0.869569155403814,0.529613093027672,0.502958859242895,4.35999,0.1153575365236,
